Player,Table Points,Player_Score,Rank,Simulation
Sam,60,1402.0,4,505
Andy,54,1568.0,5,505
Mike,53,1498.0,6,505
Dove,44,1490.0,7,505
Mikey,41,1345.0,8,505
John,41,1287.0,9,505
Karl,39,1548.0,10,505
Matt,74,1656.0,1,506
Andy,61,1633.0,2,506
Sam,61,1432.0,3,506
Tim,58,1549.0,4,506
Nick,54,1461.0,5,506
Mike,50,1467.0,6,506
Karl,47,1511.0,7,506
Mikey,46,1431.0,8,506
John,41,1187.0,9,506
Dove,40,1468.0,10,506
Tim,64,1598.0,1,507
Nick,63,1563.0,2,507
Matt,56,1579.0,3,507
Mike,56,1489.0,4,507
Sam,55,1501.0,5,507
Andy,54,1547.0,6,507
Karl,50,1442.0,7,507
John,50,1275.0,8,507
Dove,44,1425.0,9,507
Mikey,40,1430.0,10,507
Nick,69,1540.0,1,508
Tim,66,1516.0,2,508
Matt,62,1546.0,3,508
Sam,61,1499.0,4,508
Mike,50,1434.0,5,508
Andy,49,1647.0,6,508
Mikey,49,1450.0,7,508
Karl,45,1514.0,8,508
John,42,1338.0,9,508
Dove,38,1375.0,10,508
Nick,66,1553.0,1,509
Andy,64,1541.0,2,509
Matt,59,1510.0,3,509
Mikey,59,1493.0,4,509
Tim,58,1541.0,5,509
Mike,50,1424.0,6,509
Sam,48,1398.0,7,509
Dove,47,1525.0,8,509
John,44,1276.0,9,509
Karl,38,1479.0,10,509
Matt,68,1612.0,1,510
Sam,60,1573.0,2,510
Dove,59,1610.0,3,510
Mikey,55,1444.0,4,510
Nick,54,1450.0,5,510
Karl,53,1536.0,6,510
Tim,52,1517.0,7,510
Andy,51,1621.0,8,510
Mike,43,1396.0,9,510
John,40,1327.0,10,510
Matt,71,1608.0,1,511
Nick,65,1508.0,2,511
Tim,62,1578.0,3,511
Andy,58,1556.0,4,511
Mike,50,1430.0,5,511
Mikey,50,1372.0,6,511
Sam,49,1521.0,7,511
Dove,45,1526.0,8,511
John,40,1269.0,9,511
Karl,39,1406.0,10,511
Andy,69,1655.0,1,512
Matt,62,1582.0,2,512
Sam,58,1449.0,3,512
Nick,58,1430.0,4,512
Tim,56,1572.0,5,512
Mike,53,1484.0,6,512
Mikey,52,1408.0,7,512
Dove,44,1520.0,8,512
John,41,1288.0,9,512
Karl,38,1403.0,10,512
Matt,68,1604.0,1,513
Tim,64,1574.0,2,513
Andy,63,1538.0,3,513
Mike,60,1451.0,4,513
Nick,58,1536.0,5,513
Mikey,50,1478.0,6,513
John,49,1321.0,7,513
Sam,46,1383.0,8,513
Karl,44,1530.0,9,513
Dove,30,1413.0,10,513
Matt,71,1553.0,1,514
Dove,60,1532.0,2,514
Tim,59,1615.0,3,514
Andy,57,1633.0,4,514
Sam,56,1495.0,5,514
Nick,55,1486.0,6,514
Mike,49,1441.0,7,514
Mikey,46,1439.0,8,514
Karl,41,1484.0,9,514
John,38,1221.0,10,514
Mike,68,1551.0,1,515
Matt,65,1573.0,2,515
Tim,59,1604.0,3,515
Nick,57,1428.0,4,515
Sam,54,1430.0,5,515
Mikey,50,1483.0,6,515
John,47,1329.0,7,515
Andy,46,1524.0,8,515
Karl,45,1508.0,9,515
Dove,41,1575.0,10,515
Matt,65,1576.0,1,516
Mike,64,1477.0,2,516
Andy,57,1577.0,3,516
Sam,57,1516.0,4,516
John,56,1343.0,5,516
Tim,54,1518.0,6,516
Nick,52,1475.0,7,516
Mikey,45,1409.0,8,516
Dove,41,1419.0,9,516
Karl,39,1505.0,10,516
Matt,68,1689.0,1,517
Andy,61,1594.0,2,517
Mikey,61,1421.0,3,517
Nick,57,1486.0,4,517
Tim,56,1552.0,5,517
Dove,50,1517.0,6,517
Sam,49,1349.0,7,517
Karl,46,1463.0,8,517
John,46,1348.0,9,517
Mike,38,1394.0,10,517
Nick,67,1595.0,1,518
Tim,67,1569.0,2,518
Mikey,64,1435.0,3,518
Mike,55,1410.0,4,518
Andy,51,1527.0,5,518
Sam,51,1467.0,6,518
Matt,47,1512.0,7,518
John,47,1295.0,8,518
Karl,44,1489.0,9,518
Dove,41,1472.0,10,518
Tim,64,1554.0,1,519
Matt,62,1613.0,2,519
Andy,57,1607.0,3,519
Dove,57,1517.0,4,519
Sam,55,1407.0,5,519
Mikey,51,1505.0,6,519
Nick,49,1474.0,7,519
Karl,48,1404.0,8,519
Mike,47,1400.0,9,519
John,41,1326.0,10,519
Andy,69,1614.0,1,520
Sam,59,1482.0,2,520
Matt,56,1573.0,3,520
Tim,56,1512.0,4,520
Mike,56,1483.0,5,520
Nick,55,1511.0,6,520
Dove,50,1513.0,7,520
Mikey,50,1467.0,8,520
Karl,43,1478.0,9,520
John,35,1205.0,10,520
Tim,70,1609.0,1,521
Matt,65,1577.0,2,521
Mike,59,1512.0,3,521
Andy,57,1646.0,4,521
Nick,57,1479.0,5,521
Sam,51,1419.0,6,521
Karl,50,1525.0,7,521
John,46,1306.0,8,521
Dove,41,1475.0,9,521
Mikey,38,1392.0,10,521
Sam,66,1477.0,1,522
Mike,62,1430.0,2,522
Tim,61,1524.0,3,522
Andy,57,1631.0,4,522
Mikey,56,1524.0,5,522
Nick,49,1437.0,6,522
Matt,48,1494.0,7,522
Karl,46,1490.0,8,522
Dove,44,1523.0,9,522
John,43,1269.0,10,522
Andy,67,1590.0,1,523
Matt,64,1579.0,2,523
Mike,56,1427.0,3,523
Sam,56,1389.0,4,523
Nick,54,1465.0,5,523
Tim,52,1517.0,6,523
Karl,51,1557.0,7,523
John,50,1340.0,8,523
Mikey,47,1419.0,9,523
Dove,33,1376.0,10,523
Andy,69,1630.0,1,524
Sam,66,1490.0,2,524
Matt,65,1611.0,3,524
Tim,61,1560.0,4,524
Nick,58,1423.0,5,524
Mikey,56,1488.0,6,524
Mike,49,1397.0,7,524
Dove,41,1413.0,8,524
John,40,1287.0,9,524
Karl,29,1353.0,10,524
Tim,67,1532.0,1,525
Andy,58,1498.0,2,525
Nick,58,1481.0,3,525
Mike,58,1425.0,4,525
Matt,53,1494.0,5,525
John,53,1286.0,6,525
Sam,52,1327.0,7,525
Karl,46,1485.0,8,525
Mikey,46,1474.0,9,525
Dove,41,1471.0,10,525
Tim,73,1619.0,1,526
Andy,72,1623.0,2,526
Mike,63,1551.0,3,526
Nick,61,1507.0,4,526
Matt,53,1566.0,5,526
Dove,53,1445.0,6,526
John,46,1303.0,7,526
Sam,45,1469.0,8,526
Mikey,43,1357.0,9,526
Karl,23,1421.0,10,526
Matt,67,1610.0,1,527
Mike,67,1476.0,2,527
Mikey,61,1487.0,3,527
Tim,58,1569.0,4,527
Dove,54,1497.0,5,527
Sam,54,1487.0,6,527
Andy,51,1521.0,7,527
John,43,1285.0,8,527
Nick,40,1411.0,9,527
Karl,38,1445.0,10,527
Sam,69,1567.0,1,528
Andy,61,1595.0,2,528
Tim,58,1489.0,3,528
Matt,57,1619.0,4,528
Mike,56,1481.0,5,528
Nick,54,1436.0,6,528
Dove,50,1572.0,7,528
Karl,44,1518.0,8,528
John,43,1322.0,9,528
Mikey,41,1420.0,10,528
Matt,62,1659.0,1,529
Mikey,62,1485.0,2,529
Nick,59,1473.0,3,529
Mike,58,1544.0,4,529
John,56,1393.0,5,529
Andy,51,1565.0,6,529
Karl,51,1494.0,7,529
Tim,50,1542.0,8,529
Sam,45,1417.0,9,529
Dove,38,1493.0,10,529
Tim,67,1596.0,1,530
Mike,64,1491.0,2,530
Sam,58,1428.0,3,530
Mikey,55,1492.0,4,530
Andy,54,1544.0,5,530
Nick,54,1456.0,6,530
Karl,51,1480.0,7,530
Matt,50,1547.0,8,530
Dove,41,1434.0,9,530
John,40,1350.0,10,530
Tim,70,1595.0,1,531
Mikey,64,1494.0,2,531
Matt,60,1583.0,3,531
Nick,60,1519.0,4,531
Mike,58,1384.0,5,531
Sam,54,1395.0,6,531
John,47,1411.0,7,531
Andy,46,1537.0,8,531
Dove,44,1412.0,9,531
Karl,30,1373.0,10,531
Sam,69,1507.0,1,532
Matt,63,1602.0,2,532
Nick,63,1436.0,3,532
Tim,62,1596.0,4,532
Andy,57,1564.0,5,532
Mike,49,1465.0,6,532
John,46,1245.0,7,532
Mikey,43,1375.0,8,532
Karl,40,1486.0,9,532
Dove,40,1444.0,10,532
Matt,68,1647.0,1,533
Tim,61,1546.0,2,533
Sam,60,1451.0,3,533
Mike,59,1486.0,4,533
Nick,58,1463.0,5,533
Mikey,58,1399.0,6,533
Andy,51,1525.0,7,533
John,40,1263.0,8,533
Dove,39,1501.0,9,533
Karl,39,1427.0,10,533
Andy,69,1599.0,1,534
Matt,64,1598.0,2,534
Mike,64,1436.0,3,534
Tim,57,1508.0,4,534
Sam,57,1441.0,5,534
Nick,55,1379.0,6,534
Karl,45,1525.0,7,534
Dove,42,1481.0,8,534
John,40,1259.0,9,534
Mikey,35,1351.0,10,534
Sam,70,1583.0,1,535
Mike,67,1576.0,2,535
Tim,62,1594.0,3,535
John,58,1398.0,4,535
Andy,56,1701.0,5,535
Matt,54,1449.0,6,535
Nick,47,1456.0,7,535
Mikey,47,1410.0,8,535
Dove,36,1507.0,9,535
Karl,33,1454.0,10,535
Mike,67,1573.0,1,536
Andy,61,1557.0,2,536
Nick,60,1551.0,3,536
Matt,60,1546.0,4,536
Mikey,59,1468.0,5,536
Tim,58,1572.0,6,536
Sam,52,1440.0,7,536
Dove,40,1425.0,8,536
John,40,1378.0,9,536
Karl,35,1495.0,10,536
Tim,76,1651.0,1,537
Matt,65,1542.0,2,537
Nick,63,1492.0,3,537
Mike,58,1504.0,4,537
Dove,50,1471.0,5,537
Mikey,49,1407.0,6,537
Sam,48,1399.0,7,537
Karl,44,1513.0,8,537
Andy,42,1494.0,9,537
John,40,1312.0,10,537
Andy,64,1680.0,1,538
Nick,64,1545.0,2,538
Tim,61,1571.0,3,538
Matt,61,1537.0,4,538
Mike,54,1465.0,5,538
Mikey,51,1472.0,6,538
Sam,51,1436.0,7,538
John,43,1349.0,8,538
Karl,42,1516.0,9,538
Dove,38,1421.0,10,538
Matt,66,1575.0,1,539
Andy,64,1658.0,2,539
Nick,57,1495.0,3,539
Tim,55,1507.0,4,539
John,55,1429.0,5,539
Mike,53,1498.0,6,539
Sam,52,1392.0,7,539
Mikey,49,1397.0,8,539
Karl,41,1451.0,9,539
Dove,40,1475.0,10,539
Matt,71,1705.0,1,540
Andy,64,1628.0,2,540
Nick,60,1525.0,3,540
Sam,54,1469.0,4,540
Tim,52,1530.0,5,540
Mike,52,1461.0,6,540
Dove,51,1534.0,7,540
Mikey,50,1459.0,8,540
John,43,1342.0,9,540
Karl,36,1420.0,10,540
Andy,66,1621.0,1,541
Matt,62,1584.0,2,541
Mikey,61,1491.0,3,541
Sam,58,1424.0,4,541
Nick,55,1451.0,5,541
Mike,52,1493.0,6,541
John,49,1289.0,7,541
Tim,46,1488.0,8,541
Karl,44,1480.0,9,541
Dove,41,1461.0,10,541
Tim,68,1611.0,1,542
Nick,61,1464.0,2,542
Andy,60,1659.0,3,542
Matt,59,1535.0,4,542
Sam,58,1505.0,5,542
Mike,55,1399.0,6,542
Karl,45,1463.0,7,542
Dove,44,1479.0,8,542
Mikey,44,1366.0,9,542
John,38,1228.0,10,542
Tim,65,1596.0,1,543
Andy,63,1593.0,2,543
Mike,61,1506.0,3,543
Nick,55,1458.0,4,543
John,54,1331.0,5,543
Matt,53,1586.0,6,543
Mikey,52,1472.0,7,543
Sam,49,1479.0,8,543
Karl,44,1502.0,9,543
Dove,35,1418.0,10,543
Tim,70,1645.0,1,544
Mike,65,1460.0,2,544
Andy,63,1693.0,3,544
Matt,56,1518.0,4,544
Mikey,55,1472.0,5,544
Sam,54,1360.0,6,544
Nick,49,1467.0,7,544
John,45,1354.0,8,544
Dove,42,1436.0,9,544
Karl,33,1463.0,10,544
Tim,65,1590.0,1,545
Nick,65,1479.0,2,545
Mike,64,1507.0,3,545
Matt,58,1567.0,4,545
Mikey,55,1436.0,5,545
Sam,51,1469.0,6,545
Andy,49,1517.0,7,545
Dove,48,1537.0,8,545
John,41,1344.0,9,545
Karl,35,1511.0,10,545
Tim,72,1650.0,1,546
Mike,64,1469.0,2,546
Matt,63,1539.0,3,546
Nick,60,1556.0,4,546
Sam,57,1468.0,5,546
Andy,55,1563.0,6,546
Mikey,46,1438.0,7,546
Karl,43,1469.0,8,546
John,43,1329.0,9,546
Dove,29,1388.0,10,546
Tim,62,1565.0,1,547
Mike,58,1484.0,2,547
Mikey,57,1444.0,3,547
Matt,56,1526.0,4,547
John,55,1453.0,5,547
Sam,54,1463.0,6,547
Andy,51,1555.0,7,547
Nick,48,1403.0,8,547
Dove,47,1485.0,9,547
Karl,45,1437.0,10,547
Andy,72,1685.0,1,548
Matt,63,1597.0,2,548
Nick,60,1447.0,3,548
Tim,56,1567.0,4,548
Mike,55,1476.0,5,548
Sam,54,1558.0,6,548
Karl,47,1467.0,7,548
Dove,46,1510.0,8,548
Mikey,40,1396.0,9,548
John,40,1325.0,10,548
Matt,65,1550.0,1,549
Sam,60,1508.0,2,549
Tim,58,1543.0,3,549
Nick,55,1492.0,4,549
Andy,53,1558.0,5,549
Karl,53,1493.0,6,549
Mike,52,1470.0,7,549
John,47,1275.0,8,549
Dove,46,1438.0,9,549
Mikey,43,1431.0,10,549
Dove,65,1603.0,1,550
Mike,64,1535.0,2,550
Mikey,61,1491.0,3,550
Matt,59,1552.0,4,550
Tim,58,1514.0,5,550
Sam,57,1494.0,6,550
John,52,1410.0,7,550
Nick,51,1430.0,8,550
Andy,45,1516.0,9,550
Karl,23,1417.0,10,550
Andy,63,1501.0,1,551
Mikey,61,1415.0,2,551
Matt,59,1570.0,3,551
Nick,57,1444.0,4,551
Karl,54,1486.0,5,551
Sam,54,1403.0,6,551
Tim,52,1458.0,7,551
Mike,49,1460.0,8,551
Dove,44,1525.0,9,551
John,41,1291.0,10,551
Mikey,70,1511.0,1,552
Tim,64,1572.0,2,552
Sam,60,1435.0,3,552
Mike,55,1497.0,4,552
Andy,54,1524.0,5,552
Dove,51,1530.0,6,552
John,49,1333.0,7,552
Karl,48,1465.0,8,552
Matt,47,1540.0,9,552
Nick,36,1385.0,10,552
Andy,70,1631.0,1,553
Nick,60,1412.0,2,553
John,59,1353.0,3,553
Mikey,55,1471.0,4,553
Matt,53,1543.0,5,553
Tim,53,1503.0,6,553
Dove,49,1503.0,7,553
Sam,46,1308.0,8,553
Karl,44,1531.0,9,553
Mike,43,1357.0,10,553
Tim,64,1590.0,1,554
Dove,59,1541.0,2,554
Mike,58,1481.0,3,554
Matt,56,1658.0,4,554
Nick,54,1446.0,5,554
Sam,54,1443.0,6,554
Andy,52,1553.0,7,554
John,49,1296.0,8,554
Karl,44,1438.0,9,554
Mikey,44,1392.0,10,554
Mike,64,1498.0,1,555
Matt,60,1563.0,2,555
Sam,60,1491.0,3,555
Tim,57,1501.0,4,555
Dove,56,1556.0,5,555
Mikey,56,1444.0,6,555
Andy,52,1489.0,7,555
Nick,49,1403.0,8,555
John,40,1282.0,9,555
Karl,36,1477.0,10,555
Matt,70,1599.0,1,556
Sam,66,1479.0,2,556
Tim,64,1546.0,3,556
Nick,61,1407.0,4,556
Mike,55,1404.0,5,556
Andy,51,1491.0,6,556
Karl,48,1474.0,7,556
John,46,1323.0,8,556
Mikey,37,1329.0,9,556
Dove,35,1430.0,10,556
Andy,63,1603.0,1,557
John,58,1389.0,2,557
Mike,56,1543.0,3,557
Sam,56,1486.0,4,557
Matt,54,1617.0,5,557
Mikey,53,1544.0,6,557
Dove,50,1533.0,7,557
Nick,49,1415.0,8,557
Karl,47,1518.0,9,557
Tim,46,1569.0,10,557
Andy,58,1547.0,1,558
Mike,58,1425.0,2,558
Sam,57,1458.0,3,558
Matt,56,1521.0,4,558
Nick,54,1379.0,5,558
Tim,52,1562.0,6,558
Karl,52,1471.0,7,558
John,52,1234.0,8,558
Dove,47,1504.0,9,558
Mikey,47,1423.0,10,558
Matt,64,1634.0,1,559
Nick,63,1472.0,2,559
Andy,61,1621.0,3,559
Tim,57,1606.0,4,559
Sam,55,1464.0,5,559
John,53,1339.0,6,559
Karl,50,1520.0,7,559
Mike,49,1413.0,8,559
Mikey,46,1380.0,9,559
Dove,33,1467.0,10,559
Mikey,67,1548.0,1,560
Andy,66,1715.0,2,560
Mike,65,1546.0,3,560
Tim,56,1540.0,4,560
Nick,55,1532.0,5,560
Sam,54,1504.0,6,560
Matt,53,1532.0,7,560
John,40,1366.0,8,560
Karl,39,1570.0,9,560
Dove,37,1362.0,10,560
Matt,65,1578.0,1,561
Tim,64,1540.0,2,561
Andy,61,1619.0,3,561
Nick,60,1433.0,4,561
Sam,57,1427.0,5,561
John,51,1348.0,6,561
Mikey,46,1447.0,7,561
Dove,46,1421.0,8,561
Mike,44,1464.0,9,561
Karl,35,1406.0,10,561
Matt,68,1540.0,1,562
Andy,66,1640.0,2,562
Mike,65,1522.0,3,562
Tim,61,1582.0,4,562
Nick,58,1486.0,5,562
Sam,51,1360.0,6,562
Mikey,46,1431.0,7,562
Dove,44,1409.0,8,562
John,40,1278.0,9,562
Karl,35,1397.0,10,562
Matt,68,1629.0,1,563
Nick,60,1439.0,2,563
Mikey,59,1462.0,3,563
John,55,1370.0,4,563
Tim,53,1513.0,5,563
Andy,52,1471.0,6,563
Sam,51,1422.0,7,563
Dove,48,1505.0,8,563
Karl,45,1513.0,9,563
Mike,41,1404.0,10,563
Matt,63,1538.0,1,564
Andy,59,1581.0,2,564
Sam,57,1395.0,3,564
Tim,55,1573.0,4,564
Mike,52,1438.0,5,564
Nick,51,1497.0,6,564
Dove,50,1547.0,7,564
Karl,50,1481.0,8,564
Mikey,50,1383.0,9,564
John,45,1291.0,10,564
Tim,67,1632.0,1,565
Andy,62,1674.0,2,565
Matt,60,1583.0,3,565
Sam,60,1467.0,4,565
Mike,55,1471.0,5,565
Nick,51,1424.0,6,565
Dove,48,1496.0,7,565
Mikey,44,1389.0,8,565
John,44,1329.0,9,565
Karl,41,1520.0,10,565
Andy,69,1710.0,1,566
Sam,66,1498.0,2,566
Mike,66,1495.0,3,566
Tim,59,1638.0,4,566
John,55,1437.0,5,566
Nick,51,1455.0,6,566
Dove,46,1492.0,7,566
Mikey,45,1402.0,8,566
Matt,44,1490.0,9,566
Karl,29,1384.0,10,566
Dove,62,1619.0,1,567
Mike,61,1442.0,2,567
Nick,60,1527.0,3,567
John,58,1293.0,4,567
Mikey,56,1500.0,5,567
Andy,55,1613.0,6,567
Matt,55,1564.0,7,567
Sam,48,1445.0,8,567
Tim,47,1602.0,9,567
Karl,30,1471.0,10,567
Mike,68,1443.0,1,568
Sam,66,1494.0,2,568
Andy,63,1594.0,3,568
Nick,63,1481.0,4,568
Matt,62,1573.0,5,568
Tim,52,1589.0,6,568
Mikey,52,1475.0,7,568
Dove,44,1464.0,8,568
Karl,32,1387.0,9,568
John,32,1210.0,10,568
Matt,68,1657.0,1,569
Sam,66,1498.0,2,569
Nick,60,1468.0,3,569
Mike,54,1472.0,4,569
Tim,53,1578.0,5,569
Andy,51,1572.0,6,569
Mikey,50,1413.0,7,569
Karl,46,1548.0,8,569
Dove,42,1474.0,9,569
John,41,1251.0,10,569
Matt,65,1666.0,1,570
Mike,61,1512.0,2,570
Mikey,56,1400.0,3,570
Nick,55,1491.0,4,570
Tim,54,1539.0,5,570
John,53,1343.0,6,570
Andy,51,1601.0,7,570
Dove,51,1511.0,8,570
Sam,45,1415.0,9,570
Karl,41,1526.0,10,570
Andy,67,1632.0,1,571
Tim,62,1523.0,2,571
Sam,57,1412.0,3,571
Dove,53,1613.0,4,571
Matt,53,1562.0,5,571
Mikey,53,1496.0,6,571
Nick,52,1441.0,7,571
Mike,49,1388.0,8,571
Karl,44,1484.0,9,571
John,43,1363.0,10,571
Tim,62,1574.0,1,572
Matt,60,1484.0,2,572
Andy,55,1654.0,3,572
John,54,1350.0,4,572
Mike,53,1536.0,5,572
Mikey,52,1389.0,6,572
Sam,51,1441.0,7,572
Nick,51,1378.0,8,572
Dove,47,1498.0,9,572
Karl,47,1485.0,10,572
Andy,63,1554.0,1,573
Dove,59,1513.0,2,573
Matt,56,1578.0,3,573
Mikey,55,1454.0,4,573
Mike,55,1443.0,5,573
Nick,54,1445.0,6,573
Sam,54,1444.0,7,573
Tim,49,1467.0,8,573
John,49,1375.0,9,573
Karl,41,1488.0,10,573
Sam,66,1478.0,1,574
Tim,64,1572.0,2,574
Nick,60,1439.0,3,574
Andy,57,1540.0,4,574
Dove,56,1640.0,5,574
Mikey,52,1367.0,6,574
Mike,50,1454.0,7,574
Matt,48,1572.0,8,574
John,46,1265.0,9,574
Karl,34,1419.0,10,574
Andy,63,1625.0,1,575
Matt,63,1529.0,2,575
Tim,61,1559.0,3,575
Mike,59,1493.0,4,575
Sam,58,1411.0,5,575
Nick,57,1557.0,6,575
Mikey,53,1463.0,7,575
Dove,47,1496.0,8,575
John,37,1251.0,9,575
Karl,35,1491.0,10,575
Matt,62,1628.0,1,576
Andy,61,1600.0,2,576
Tim,61,1501.0,3,576
Mike,58,1347.0,4,576
John,55,1371.0,5,576
Sam,54,1443.0,6,576
Nick,51,1431.0,7,576
Mikey,49,1361.0,8,576
Karl,42,1470.0,9,576
Dove,39,1490.0,10,576
Nick,63,1465.0,1,577
Tim,61,1634.0,2,577
Andy,60,1631.0,3,577
Matt,60,1509.0,4,577
Mike,56,1453.0,5,577
Mikey,55,1454.0,6,577
Sam,54,1453.0,7,577
John,46,1369.0,8,577
Karl,41,1401.0,9,577
Dove,38,1496.0,10,577
Tim,64,1565.0,1,578
Sam,61,1471.0,2,578
Andy,57,1614.0,3,578
Mikey,55,1541.0,4,578
Mike,55,1448.0,5,578
Matt,52,1563.0,6,578
Nick,51,1439.0,7,578
Karl,47,1530.0,8,578
John,46,1377.0,9,578
Dove,44,1568.0,10,578
Andy,66,1642.0,1,579
Mikey,61,1482.0,2,579
Matt,56,1611.0,3,579
Sam,55,1503.0,4,579
Mike,55,1463.0,5,579
Nick,54,1546.0,6,579
Karl,50,1507.0,7,579
Tim,46,1506.0,8,579
John,46,1360.0,9,579
Dove,45,1530.0,10,579
Nick,60,1496.0,1,580
Andy,57,1590.0,2,580
Matt,57,1555.0,3,580
Mike,56,1527.0,4,580
Dove,56,1525.0,5,580
Tim,55,1517.0,6,580
Sam,51,1365.0,7,580
Karl,50,1538.0,8,580
Mikey,49,1488.0,9,580
John,43,1255.0,10,580
Mike,67,1436.0,1,581
Mikey,64,1420.0,2,581
Andy,63,1573.0,3,581
Matt,60,1615.0,4,581
Nick,57,1513.0,5,581
Sam,52,1437.0,6,581
Dove,45,1523.0,7,581
John,44,1323.0,8,581
Tim,42,1488.0,9,581
Karl,38,1455.0,10,581
Andy,63,1608.0,1,582
Mike,61,1537.0,2,582
Sam,60,1469.0,3,582
Tim,55,1544.0,4,582
Mikey,53,1445.0,5,582
John,52,1315.0,6,582
Nick,51,1415.0,7,582
Karl,48,1432.0,8,582
Matt,47,1491.0,9,582
Dove,44,1485.0,10,582
Matt,72,1586.0,1,583
Sam,68,1519.0,2,583
Nick,67,1519.0,3,583
Tim,58,1494.0,4,583
Mikey,54,1437.0,5,583
Mike,46,1412.0,6,583
Andy,44,1491.0,7,583
John,43,1358.0,8,583
Dove,39,1585.0,9,583
Karl,39,1457.0,10,583
Matt,66,1641.0,1,584
Andy,61,1599.0,2,584
Tim,58,1536.0,3,584
Mike,58,1444.0,4,584
Sam,57,1435.0,5,584
Nick,54,1407.0,6,584
Mikey,50,1434.0,7,584
Dove,48,1576.0,8,584
John,46,1279.0,9,584
Karl,35,1467.0,10,584
Nick,72,1546.0,1,585
Matt,66,1592.0,2,585
Andy,58,1562.0,3,585
Mike,55,1502.0,4,585
Mikey,55,1444.0,5,585
Tim,48,1561.0,6,585
Sam,48,1467.0,7,585
Karl,45,1482.0,8,585
John,43,1239.0,9,585
Dove,42,1555.0,10,585
Nick,69,1538.0,1,586
Mike,64,1479.0,2,586
Andy,59,1628.0,3,586
Matt,59,1509.0,4,586
Sam,56,1457.0,5,586
Dove,53,1523.0,6,586
Tim,52,1579.0,7,586
Karl,45,1480.0,8,586
John,38,1306.0,9,586
Mikey,37,1425.0,10,586
Mike,64,1585.0,1,587
Tim,64,1576.0,2,587
Andy,63,1623.0,3,587
Sam,61,1436.0,4,587
Mikey,52,1441.0,5,587
Dove,47,1524.0,6,587
Matt,47,1508.0,7,587
John,47,1314.0,8,587
Karl,45,1474.0,9,587
Nick,43,1409.0,10,587
Matt,60,1631.0,1,588
Tim,58,1608.0,2,588
Sam,57,1440.0,3,588
Nick,55,1459.0,4,588
Andy,54,1541.0,5,588
Mike,53,1450.0,6,588
John,53,1320.0,7,588
Dove,51,1502.0,8,588
Karl,46,1452.0,9,588
Mikey,44,1375.0,10,588
Tim,70,1640.0,1,589
Andy,63,1663.0,2,589
Nick,63,1492.0,3,589
Sam,59,1450.0,4,589
Mikey,55,1389.0,5,589
Matt,52,1508.0,6,589
Mike,52,1393.0,7,589
John,46,1304.0,8,589
Dove,42,1428.0,9,589
Karl,30,1314.0,10,589
Mikey,64,1567.0,1,590
Tim,61,1617.0,2,590
Mike,61,1466.0,3,590
Sam,60,1483.0,4,590
Matt,59,1677.0,5,590
Andy,57,1595.0,6,590
Nick,51,1493.0,7,590
Dove,50,1497.0,8,590
John,37,1254.0,9,590
Karl,35,1453.0,10,590
Matt,72,1589.0,1,591
Andy,66,1600.0,2,591
Nick,63,1530.0,3,591
John,53,1289.0,4,591
Tim,52,1504.0,5,591
Mike,52,1415.0,6,591
Dove,47,1526.0,7,591
Mikey,47,1411.0,8,591
Sam,42,1397.0,9,591
Karl,39,1397.0,10,591
Matt,74,1671.0,1,592
Tim,60,1612.0,2,592
Sam,59,1434.0,3,592
Nick,57,1444.0,4,592
Mike,55,1368.0,5,592
John,52,1247.0,6,592
Andy,49,1572.0,7,592
Mikey,49,1445.0,8,592
Dove,42,1525.0,9,592
Karl,35,1469.0,10,592
Matt,65,1682.0,1,593
Andy,59,1627.0,2,593
Tim,58,1567.0,3,593
Mike,58,1461.0,4,593
Sam,58,1418.0,5,593
Nick,53,1427.0,6,593
John,52,1252.0,7,593
Mikey,49,1433.0,8,593
Dove,47,1488.0,9,593
Karl,33,1398.0,10,593
Matt,65,1584.0,1,594
Mike,64,1560.0,2,594
Sam,64,1471.0,3,594
Tim,62,1596.0,4,594
Nick,57,1505.0,5,594
Andy,54,1476.0,6,594
John,49,1295.0,7,594
Mikey,44,1441.0,8,594
Dove,38,1413.0,9,594
Karl,35,1368.0,10,594
Andy,65,1672.0,1,595
Nick,63,1527.0,2,595
Mike,59,1430.0,3,595
Matt,56,1638.0,4,595
Sam,55,1430.0,5,595
Dove,53,1574.0,6,595
Tim,50,1530.0,7,595
John,46,1285.0,8,595
Karl,44,1559.0,9,595
Mikey,41,1367.0,10,595
Nick,60,1542.0,1,596
Mikey,58,1418.0,2,596
Sam,57,1447.0,3,596
Matt,56,1580.0,4,596
Mike,55,1389.0,5,596
John,55,1299.0,6,596
Karl,53,1494.0,7,596
Dove,50,1371.0,8,596
Tim,49,1496.0,9,596
Andy,42,1545.0,10,596
Matt,74,1641.0,1,597
Tim,67,1646.0,2,597
Nick,66,1543.0,3,597
Sam,63,1455.0,4,597
Andy,57,1582.0,5,597
Mike,50,1436.0,6,597
Mikey,46,1450.0,7,597
John,43,1236.0,8,597
Dove,35,1475.0,9,597
Karl,33,1463.0,10,597
Sam,61,1483.0,1,598
Dove,57,1627.0,2,598
Mikey,55,1439.0,3,598
Mike,54,1462.0,4,598
Nick,54,1451.0,5,598
Matt,53,1541.0,6,598
John,53,1280.0,7,598
Tim,52,1512.0,8,598
Andy,46,1539.0,9,598
Karl,45,1441.0,10,598
Sam,64,1514.0,1,599
