Player,Table Points,Player_Score,Rank,Simulation
Sam,54,1416.0,7,35
John,41,1286.0,8,35
Dove,39,1459.0,9,35
Karl,35,1462.0,10,35
Tim,67,1577.0,1,36
Matt,65,1660.0,2,36
Nick,57,1508.0,3,36
Mikey,52,1411.0,4,36
Sam,51,1413.0,5,36
Dove,50,1468.0,6,36
Mike,50,1416.0,7,36
John,49,1259.0,8,36
Andy,48,1565.0,9,36
Karl,45,1427.0,10,36
Tim,70,1589.0,1,37
Mikey,70,1445.0,2,37
Sam,67,1496.0,3,37
Matt,56,1501.0,4,37
Dove,54,1482.0,5,37
Mike,47,1359.0,6,37
Andy,46,1494.0,7,37
Nick,43,1418.0,8,37
John,43,1339.0,9,37
Karl,33,1452.0,10,37
Tim,71,1602.0,1,38
Sam,66,1470.0,2,38
Mike,59,1547.0,3,38
Nick,57,1537.0,4,38
Matt,56,1627.0,5,38
Andy,55,1459.0,6,38
Mikey,47,1401.0,7,38
Karl,44,1518.0,8,38
John,41,1334.0,9,38
Dove,34,1419.0,10,38
Nick,69,1497.0,1,39
Tim,61,1497.0,2,39
Mike,61,1418.0,3,39
Andy,60,1600.0,4,39
Sam,58,1433.0,5,39
Matt,54,1621.0,6,39
John,49,1337.0,7,39
Dove,47,1592.0,8,39
Mikey,40,1356.0,9,39
Karl,35,1382.0,10,39
Tim,67,1571.0,1,40
Mikey,64,1460.0,2,40
Matt,62,1559.0,3,40
Nick,61,1549.0,4,40
Andy,55,1518.0,5,40
Mike,55,1459.0,6,40
Sam,51,1488.0,7,40
Dove,44,1458.0,8,40
John,41,1345.0,9,40
Karl,33,1438.0,10,40
Andy,70,1647.0,1,41
Matt,68,1650.0,2,41
Nick,54,1457.0,3,41
Dove,53,1602.0,4,41
Tim,52,1512.0,5,41
Mikey,52,1459.0,6,41
Mike,52,1350.0,7,41
John,49,1363.0,8,41
Karl,42,1514.0,9,41
Sam,42,1434.0,10,41
Matt,71,1686.0,1,42
Sam,59,1492.0,2,42
Tim,58,1544.0,3,42
Mikey,58,1501.0,4,42
John,55,1338.0,5,42
Dove,51,1442.0,6,42
Mike,48,1407.0,7,42
Karl,47,1440.0,8,42
Andy,43,1557.0,9,42
Nick,42,1368.0,10,42
Tim,71,1560.0,1,43
Matt,62,1610.0,2,43
Andy,61,1641.0,3,43
John,55,1336.0,4,43
Sam,54,1463.0,5,43
Nick,54,1416.0,6,43
Mike,53,1478.0,7,43
Mikey,46,1383.0,8,43
Dove,39,1457.0,9,43
Karl,38,1492.0,10,43
Tim,62,1579.0,1,44
Nick,61,1533.0,2,44
Dove,59,1565.0,3,44
Matt,57,1530.0,4,44
Andy,55,1543.0,5,44
Sam,55,1494.0,6,44
Mike,53,1437.0,7,44
Mikey,47,1398.0,8,44
Karl,42,1427.0,9,44
John,40,1272.0,10,44
Tim,67,1586.0,1,45
Nick,63,1460.0,2,45
John,61,1330.0,3,45
Matt,59,1601.0,4,45
Andy,57,1519.0,5,45
Sam,57,1481.0,6,45
Mike,55,1455.0,7,45
Mikey,44,1409.0,8,45
Dove,36,1419.0,9,45
Karl,35,1461.0,10,45
Andy,75,1648.0,1,46
Sam,66,1550.0,2,46
Matt,59,1583.0,3,46
Mikey,53,1479.0,4,46
Mike,53,1406.0,5,46
Tim,52,1518.0,6,46
Nick,51,1377.0,7,46
Dove,47,1579.0,8,46
Karl,41,1477.0,9,46
John,37,1274.0,10,46
Matt,71,1716.0,1,47
Mike,65,1525.0,2,47
Sam,60,1470.0,3,47
Tim,58,1497.0,4,47
Andy,57,1527.0,5,47
Nick,57,1440.0,6,47
Dove,47,1515.0,7,47
Karl,47,1509.0,8,47
Mikey,43,1403.0,9,47
John,29,1299.0,10,47
Andy,63,1645.0,1,48
Matt,62,1629.0,2,48
Mikey,61,1463.0,3,48
Tim,60,1611.0,4,48
Sam,60,1438.0,5,48
Mike,54,1483.0,6,48
Nick,52,1492.0,7,48
John,46,1351.0,8,48
Dove,44,1500.0,9,48
Karl,29,1440.0,10,48
Andy,66,1573.0,1,49
Nick,63,1531.0,2,49
Sam,63,1443.0,3,49
Matt,59,1600.0,4,49
Mike,58,1416.0,5,49
John,58,1365.0,6,49
Tim,49,1460.0,7,49
Dove,47,1425.0,8,49
Mikey,40,1430.0,9,49
Karl,32,1480.0,10,49
Tim,67,1604.0,1,50
Andy,63,1632.0,2,50
Matt,62,1591.0,3,50
Sam,60,1424.0,4,50
Nick,57,1449.0,5,50
Dove,56,1508.0,6,50
Mikey,53,1402.0,7,50
Mike,50,1352.0,8,50
John,46,1295.0,9,50
Karl,20,1331.0,10,50
Sam,69,1457.0,1,51
Mike,67,1422.0,2,51
Andy,63,1587.0,3,51
Mikey,53,1452.0,4,51
Tim,52,1569.0,5,51
Nick,52,1479.0,6,51
Dove,50,1565.0,7,51
John,45,1370.0,8,51
Matt,44,1531.0,9,51
Karl,38,1439.0,10,51
Andy,75,1734.0,1,52
Matt,66,1649.0,2,52
Sam,63,1505.0,3,52
Nick,57,1532.0,4,52
Tim,55,1529.0,5,52
Dove,47,1410.0,6,52
Mike,46,1375.0,7,52
Mikey,43,1445.0,8,52
John,43,1412.0,9,52
Karl,39,1435.0,10,52
Tim,67,1514.0,1,53
Andy,63,1625.0,2,53
Matt,62,1634.0,3,53
Sam,56,1481.0,4,53
Dove,53,1525.0,5,53
Nick,53,1480.0,6,53
Mikey,50,1489.0,7,53
Mike,49,1415.0,8,53
John,41,1275.0,9,53
Karl,38,1442.0,10,53
Andy,63,1582.0,1,54
Mike,62,1488.0,2,54
Tim,61,1526.0,3,54
Matt,60,1521.0,4,54
Nick,54,1437.0,5,54
Sam,51,1422.0,6,54
Dove,50,1512.0,7,54
Mikey,50,1371.0,8,54
John,49,1341.0,9,54
Karl,33,1383.0,10,54
Tim,66,1615.0,1,55
Andy,63,1578.0,2,55
Mikey,62,1508.0,3,55
Sam,60,1451.0,4,55
Nick,58,1483.0,5,55
Matt,53,1556.0,6,55
Dove,53,1546.0,7,55
Mike,46,1369.0,8,55
John,43,1329.0,9,55
Karl,29,1435.0,10,55
Matt,67,1647.0,1,56
Sam,65,1469.0,2,56
Tim,64,1550.0,3,56
Mikey,62,1459.0,4,56
Nick,51,1451.0,5,56
Karl,47,1417.0,6,56
Andy,46,1531.0,7,56
John,45,1265.0,8,56
Mike,43,1397.0,9,56
Dove,37,1474.0,10,56
Sam,64,1490.0,1,57
Andy,63,1575.0,2,57
Nick,63,1455.0,3,57
Mike,58,1528.0,4,57
Matt,53,1514.0,5,57
Karl,47,1498.0,6,57
Tim,47,1497.0,7,57
John,47,1351.0,8,57
Mikey,46,1447.0,9,57
Dove,45,1467.0,10,57
Mike,76,1542.0,1,58
Tim,60,1531.0,2,58
Mikey,59,1447.0,3,58
Sam,59,1443.0,4,58
Andy,57,1572.0,5,58
Nick,55,1441.0,6,58
Matt,54,1519.0,7,58
John,42,1260.0,8,58
Karl,39,1462.0,9,58
Dove,29,1408.0,10,58
Sam,69,1438.0,1,59
Tim,62,1557.0,2,59
Matt,56,1530.0,3,59
Andy,54,1561.0,4,59
John,52,1296.0,5,59
Nick,51,1437.0,6,59
Dove,49,1542.0,7,59
Karl,48,1466.0,8,59
Mikey,46,1479.0,9,59
Mike,46,1425.0,10,59
Matt,64,1618.0,1,60
Nick,63,1493.0,2,60
Sam,57,1450.0,3,60
Tim,55,1534.0,4,60
Dove,52,1521.0,5,60
John,52,1383.0,6,60
Andy,51,1475.0,7,60
Mikey,50,1450.0,8,60
Mike,47,1414.0,9,60
Karl,41,1469.0,10,60
Mikey,64,1445.0,1,61
Andy,63,1591.0,2,61
Nick,60,1485.0,3,61
Sam,57,1427.0,4,61
Matt,56,1604.0,5,61
Tim,54,1485.0,6,61
Mike,52,1487.0,7,61
John,52,1394.0,8,61
Dove,42,1447.0,9,61
Karl,33,1456.0,10,61
Matt,62,1648.0,1,62
Mike,61,1506.0,2,62
Andy,57,1564.0,3,62
Sam,57,1392.0,4,62
Tim,56,1550.0,5,62
Mikey,55,1433.0,6,62
Dove,53,1534.0,7,62
Nick,52,1520.0,8,62
Karl,50,1476.0,9,62
John,31,1264.0,10,62
Matt,65,1637.0,1,63
Tim,61,1598.0,2,63
Nick,61,1487.0,3,63
Sam,57,1494.0,4,63
Mike,55,1504.0,5,63
Andy,54,1520.0,6,63
Mikey,49,1434.0,7,63
Dove,47,1520.0,8,63
John,43,1280.0,9,63
Karl,42,1487.0,10,63
Tim,60,1612.0,1,64
Sam,58,1501.0,2,64
John,58,1365.0,3,64
Nick,57,1548.0,4,64
Matt,55,1578.0,5,64
Dove,54,1560.0,6,64
Mikey,50,1426.0,7,64
Andy,49,1584.0,8,64
Mike,47,1349.0,9,64
Karl,42,1452.0,10,64
Matt,68,1616.0,1,65
Andy,63,1631.0,2,65
Nick,63,1574.0,3,65
Tim,61,1636.0,4,65
Dove,53,1602.0,5,65
Karl,51,1497.0,6,65
John,50,1385.0,7,65
Sam,45,1400.0,8,65
Mike,43,1387.0,9,65
Mikey,37,1390.0,10,65
Tim,67,1546.0,1,66
Nick,67,1415.0,2,66
Matt,66,1667.0,3,66
Mikey,61,1483.0,4,66
Andy,52,1579.0,5,66
Mike,52,1380.0,6,66
John,46,1250.0,7,66
Karl,42,1486.0,8,66
Dove,41,1446.0,9,66
Sam,39,1356.0,10,66
Andy,69,1619.0,1,67
Mikey,67,1513.0,2,67
Matt,66,1587.0,3,67
John,58,1343.0,4,67
Nick,54,1425.0,5,67
Mike,53,1462.0,6,67
Tim,47,1541.0,7,67
Sam,46,1455.0,8,67
Dove,41,1485.0,9,67
Karl,32,1472.0,10,67
Tim,74,1651.0,1,68
Matt,69,1565.0,2,68
Nick,63,1523.0,3,68
Mike,59,1480.0,4,68
Mikey,58,1441.0,5,68
Andy,51,1517.0,6,68
Sam,48,1498.0,7,68
John,46,1283.0,8,68
Karl,35,1469.0,9,68
Dove,30,1390.0,10,68
Andy,61,1576.0,1,69
Mikey,61,1509.0,2,69
Sam,61,1507.0,3,69
John,58,1357.0,4,69
Matt,53,1540.0,5,69
Tim,53,1475.0,6,69
Mike,52,1440.0,7,69
Nick,49,1426.0,8,69
Dove,48,1512.0,9,69
Karl,36,1408.0,10,69
Nick,65,1519.0,1,70
Mike,61,1450.0,2,70
John,59,1324.0,3,70
Andy,58,1552.0,4,70
Sam,58,1373.0,5,70
Tim,57,1524.0,6,70
Matt,48,1491.0,7,70
Dove,45,1521.0,8,70
Karl,42,1407.0,9,70
Mikey,37,1365.0,10,70
Mike,68,1489.0,1,71
Andy,64,1664.0,2,71
Mikey,64,1446.0,3,71
Nick,60,1525.0,4,71
Sam,58,1403.0,5,71
Matt,56,1543.0,6,71
Dove,45,1436.0,7,71
Tim,43,1548.0,8,71
Karl,37,1505.0,9,71
John,35,1280.0,10,71
Sam,63,1426.0,1,72
Tim,61,1586.0,2,72
Nick,61,1462.0,3,72
Matt,59,1611.0,4,72
Mike,55,1434.0,5,72
Andy,54,1595.0,6,72
Mikey,52,1479.0,7,72
Dove,50,1543.0,8,72
John,44,1352.0,9,72
Karl,35,1512.0,10,72
Andy,68,1586.0,1,73
Tim,64,1543.0,2,73
Mike,59,1496.0,3,73
Matt,57,1591.0,4,73
Mikey,54,1565.0,5,73
